-0.38;-0.82;0.07;6
-0.26;0.17;-0.37;1
0.08;-0.95;-0.78;7
-0.19;0.54;0.01;4
0.48;0.59;-0.94;9
0.1;0.82;-0.63;10
-0.54;0.48;0.28;10
0.93;-0.71;0.55;4
-0.19;0.46;0.92;3
-0.15;0.41;1;4
0.32;-0.45;-0.43;9
-0.01;-0.78;0.48;5
0.02;0.79;0.21;3
-0.89;-0.07;0.69;5
0.91;-0.56;-0.48;3
-0.84;-0.4;1;8
-1;-0.63;0.41;7
0.5;-0.39;0.49;6
0.83;-0.87;-0.93;7
-0.7;-0.84;0.6;5
0.93;-0.04;0.79;3
-0.47;-0.79;0.36;7
-0.75;0.42;0.35;4
-0.07;-0.2;0.4;3
0.38;-0.71;-0.9;2
-0.57;0.7;0.73;6
-0.67;0.34;0.94;8
-0.19;-0.94;-0.01;3
-0.17;-0.72;0.65;3
0.07;-0.78;-0.24;3
-0.45;0.35;0.52;6
-0.46;-0.94;-0.06;1
-0.07;0.78;0.28;1
-0.71;-0.72;0.82;6
-0.37;0.13;-0.25;7
-0.33;-0.03;0.75;10
-0.98;-0.78;-0.8;3
-0.69;-0.44;-0.7;10
0.95;-0.94;0.33;7
-0.9;-0.1;0.05;7
0.05;0.08;-0.62;4
-0.12;0.46;0.55;8
-0.14;0.46;-0.8;5
-0.41;-0.56;-0.84;5
0.11;-0.28;0.97;4
-0.04;0.49;0.37;4
-0.33;0.82;0.12;8
-0.83;0.3;0.37;4
0.38;-0.02;-0.17;5
-0.93;0.25;-0.15;10
-0.55;-0.26;-0.62;4
-0.76;-0.13;0.47;8
-0.39;0.52;-0.73;6
0.5;0.88;-0.67;4
-0.97;0.75;-0.83;4
-0.82;-0.19;0.54;6
-0.86;0.87;0.53;10
-0.52;0.64;-0.26;5
-0.23;-0.57;-0.63;2
0.62;-0.9;0.94;9
-0.75;-0.49;-0.98;5
-1;0.44;0.32;4
0.75;0.79;-0.79;4
-0.53;0.88;-0.5;2
-0.19;0.19;-0.49;4
-0.62;-0.88;0.33;10
-0.49;0.9;-0.58;6
0.79;-0.42;-0.89;1
0.8;0.4;-0.66;1
-0.58;0.77;0.27;2
0.09;0.57;0.75;1
0.4;0.58;0.1;6
-0.95;0.26;-0.08;9
0.93;-0.88;0.91;10
-0.3;0.4;0.04;10
-0.61;-0.92;0.07;8
0.43;0.41;-0.09;4
-0.02;-0.31;-0.57;9
-0.54;0.16;0.4;6
0.1;0.18;0.29;9
0.07;0.03;0.01;7
-0.57;-0.82;0.46;9
0.92;-0.66;-0.83;4
0.84;-0.77;-0.72;5
0.38;-0.18;0.42;5
0.51;0.24;0.26;3
-0.71;0.39;0.29;4
0.68;-0.63;-0.79;8
-0.16;0.88;0.64;1
0.04;-0.25;0.02;1
0.6;0.9;0.25;3
-0.73;0.03;-0.04;2
0.46;-0.89;-0.19;9
0.53;0.27;-0.77;4
-0.05;-0.62;-0.7;5
-0.33;-0.53;0.22;7
0.63;-0.6;-0.49;10
-0.57;-0.78;0.17;9
-0.24;0.6;0.46;7
0.54;-0.57;0.41;2
-0.24;-0.5;0.05;7
0.06;0.95;0.17;7
0.14;0.92;-0.56;8
0.17;-0.17;0.19;1
-0.6;0.24;-0.36;9
0.38;0.08;-0.91;6
0.89;0.94;-0.24;3
-0.28;0.3;-0.76;10
-0.85;-0.48;-0.76;10
0.96;0.74;0.48;2
0.57;0.13;-0.27;9
0.83;0.08;0.03;3
-0.9;-0.08;0.59;3
0.5;-0.01;0.93;8
-0.13;-0.28;-0.35;5
0.22;0.18;-0.25;6
-0.86;0.41;0.63;5
-0.29;-0.51;-0.05;6
0.28;0.12;-0.61;2
0.5;0.25;-0.57;10
0.8;0.55;0.3;4
0.05;0.2;0.43;10
-0.54;-0.3;-0.59;10
-0.41;-0.33;0.26;8
0.64;-0.16;0.04;2
-0.92;0.62;0.65;9
0.72;0.09;0.04;5
0.29;0.24;0.92;8
0.21;0.9;-0.02;8
0.4;-0.68;0.33;8
0.06;0.78;0.34;2
-0.43;0.66;-0.39;9
0.47;0.01;-0.23;7
-0.72;-0.52;-0.38;9
-0.34;-0.94;-0.87;4
0.08;-0.94;0.98;5
-0.08;-0.04;0.02;5
0.51;0.7;-0.63;6
-0.21;0.17;0.61;4
0.11;-0.21;-0.38;9
-0.2;0.95;0.67;2
0.81;0.02;0.87;1
0.51;0.4;-0.95;8
-0.6;0.33;0.21;3
-0.75;0.84;-0.23;1
-0.88;0.03;0.83;2
-1;0.96;-0.01;6
-0.26;-0.04;0.28;5
